"","DHSID_EA","cname","year","lat","lon","n_asset","asset_index","n_water","water_index","cluster_id","adm1dhs","urban","path"
"1","IA-2015-7-00010027","IA",2015,12.4722363487,92.8835172685,22,-2.83669092986647,22,1.13636363636364,10027,1,"R","dhs_train/IA-2015-7-00010027.npz"
"2","IA-2015-7-00020670","IA",2015,16.81560379,81.32953496,21,0.732851374401357,21,2.52380952380952,20670,2,"R","dhs_train/IA-2015-7-00020670.npz"
"3","IA-2015-7-00020924","IA",2015,16.18045303,80.52573588,21,1.20717418443847,21,3,20924,2,"R","dhs_train/IA-2015-7-00020924.npz"
"4","IA-2015-7-00020926","IA",2015,17.51452668,82.07739177,21,-1.03458211244001,21,3,20926,2,"R","dhs_train/IA-2015-7-00020926.npz"
"5","IA-2015-7-00030004","IA",2015,27.524358446,96.01082999,19,-0.10630114415577,19,3,30004,3,"R","dhs_train/IA-2015-7-00030004.npz"
"6","IA-2015-7-00030010","IA",2015,27.367170674,92.589686216,20,-1.03690957655771,20,2.4,30010,3,"R","dhs_train/IA-2015-7-00030010.npz"
"7","IA-2015-7-00030020","IA",2015,27.976492307,96.670174077,21,-0.359049845907488,21,3.0952380952381,30020,3,"R","dhs_train/IA-2015-7-00030020.npz"
"8","IA-2015-7-00030027","IA",2015,27.309525452,92.895669655,18,-0.612223451214173,18,1,30027,3,"R","dhs_train/IA-2015-7-00030027.npz"
"9","IA-2015-7-00030039","IA",2015,26.989012066,93.022846701,20,0.693383622208222,20,2.8,30039,3,"R","dhs_train/IA-2015-7-00030039.npz"
"10","IA-2015-7-00030048","IA",2015,27.997597384,96.668635064,21,-1.16297960974618,21,2.14285714285714,30048,3,"R","dhs_train/IA-2015-7-00030048.npz"
"11","IA-2015-7-00030060","IA",2015,27.239191957,93.064921425,22,-1.50375101775123,22,2.45454545454545,30060,3,"R","dhs_train/IA-2015-7-00030060.npz"
"12","IA-2015-7-00030073","IA",2015,27.525394159,96.144993357,22,-2.11867885799641,22,2.13636363636364,30073,3,"R","dhs_train/IA-2015-7-00030073.npz"
"13","IA-2015-7-00030096","IA",2015,27.661181799,95.873542099,22,-0.399961251882082,22,3,30096,3,"U","dhs_train/IA-2015-7-00030096.npz"
"14","IA-2015-7-00030099","IA",2015,27.562766011,95.866685755,21,-0.0562071570601458,21,3,30099,3,"R","dhs_train/IA-2015-7-00030099.npz"
"15","IA-2015-7-00030112","IA",2015,28.352681564,93.825292765,21,0.40178112005921,21,2.9047619047619,30112,3,"R","dhs_train/IA-2015-7-00030112.npz"
