,Unnamed: 0.1,index,NDVI,AWEI,NDWI,MNDWI,Unnamed: 0,DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,cluster_id,adm1dhs,urban,path
0,0,0,0.15091342,0.13776387,0.14315931,-0.33606327,1,IA-2015-7-00010027,IA,2015,12.4722363487,92.8835172685,22,-2.83669092986647,22,1.13636363636364,10027,1,R,dhs_train/IA-2015-7-00010027.npz
1,1,1,-0.061622884,0.51938945,0.15604007,-0.29968017,2,IA-2015-7-00020670,IA,2015,16.81560379,81.32953496,21,0.732851374401357,21,2.52380952380952,20670,2,R,dhs_train/IA-2015-7-00020670.npz
2,2,2,0.17509297,-0.35046455,-0.09160909,-0.44749454,3,IA-2015-7-00020924,IA,2015,16.18045303,80.52573588,21,1.20717418443847,21,3.0,20924,2,R,dhs_train/IA-2015-7-00020924.npz
3,3,3,0.0973613,0.19203949,0.058563683,-0.32592398,4,IA-2015-7-00020926,IA,2015,17.51452668,82.07739177,21,-1.03458211244001,21,3.0,20926,2,R,dhs_train/IA-2015-7-00020926.npz
4,4,4,0.20933533,-0.46378154,-0.13595268,-0.35850683,5,IA-2015-7-00030004,IA,2015,27.524358446,96.01082999,19,-0.10630114415577,19,3.0,30004,3,R,dhs_train/IA-2015-7-00030004.npz
5,5,5,0.27537033,-0.40400845,-0.11348967,-0.4042598,6,IA-2015-7-00030010,IA,2015,27.367170674,92.589686216,20,-1.03690957655771,20,2.4,30010,3,R,dhs_train/IA-2015-7-00030010.npz
6,6,6,0.47996768,-0.6396349,-0.40861407,-0.51018715,7,IA-2015-7-00030020,IA,2015,27.976492307,96.670174077,21,-0.359049845907488,21,3.0952380952381,30020,3,R,dhs_train/IA-2015-7-00030020.npz
7,7,7,0.48182958,-0.40166184,-0.27091363,-0.3938311,8,IA-2015-7-00030027,IA,2015,27.309525452,92.895669655,18,-0.612223451214173,18,1.0,30027,3,R,dhs_train/IA-2015-7-00030027.npz
8,8,8,0.45996714,-0.42471874,-0.24478151,-0.44456154,9,IA-2015-7-00030039,IA,2015,26.989012066,93.022846701,20,0.693383622208222,20,2.8,30039,3,R,dhs_train/IA-2015-7-00030039.npz
9,9,9,0.45404652,-0.54558647,-0.38963625,-0.51303643,10,IA-2015-7-00030048,IA,2015,27.997597384,96.668635064,21,-1.16297960974618,21,2.14285714285714,30048,3,R,dhs_train/IA-2015-7-00030048.npz
10,10,10,0.36036646,-0.12149449,-0.13514361,-0.4026989,11,IA-2015-7-00030060,IA,2015,27.239191957,93.064921425,22,-1.50375101775123,22,2.45454545454545,30060,3,R,dhs_train/IA-2015-7-00030060.npz
11,11,11,0.28825483,-0.35566872,-0.17005202,-0.33753976,12,IA-2015-7-00030073,IA,2015,27.525394159,96.144993357,22,-2.11867885799641,22,2.13636363636364,30073,3,R,dhs_train/IA-2015-7-00030073.npz
12,12,12,0.10301627,0.094744086,0.006417157,-0.39288786,13,IA-2015-7-00030096,IA,2015,27.661181799,95.873542099,22,-0.399961251882082,22,3.0,30096,3,U,dhs_train/IA-2015-7-00030096.npz
13,13,13,0.2525788,-0.42609116,-0.17106849,-0.3600364,14,IA-2015-7-00030099,IA,2015,27.562766011,95.866685755,21,-0.0562071570601458,21,3.0,30099,3,R,dhs_train/IA-2015-7-00030099.npz
14,14,14,0.10839035,-0.20397481,0.040460344,-0.24670902,15,IA-2015-7-00030112,IA,2015,28.352681564,93.825292765,21,0.40178112005921,21,2.9047619047619,30112,3,R,dhs_train/IA-2015-7-00030112.npz
15,15,15,0.39044937,-0.17673711,-0.16668037,-0.3657886,16,IA-2015-7-00030196,IA,2015,27.343540251,93.03633437,18,-1.23818990092037,18,1.33333333333333,30196,3,R,dhs_train/IA-2015-7-00030196.npz
16,16,16,0.4743544,-0.2726667,-0.26075646,-0.37214875,17,IA-2015-7-00030204,IA,2015,28.451791167,95.117634221,19,0.982904523207519,19,3.10526315789474,30204,3,R,dhs_train/IA-2015-7-00030204.npz
17,17,17,0.19302495,0.08870241,0.0077004614,-0.28748095,18,IA-2015-7-00030219,IA,2015,26.886815496,95.270142742,22,-1.18449027951866,22,1.18181818181818,30219,3,R,dhs_train/IA-2015-7-00030219.npz
18,18,18,0.23575316,-0.36824363,-0.15174127,-0.3404846,19,IA-2015-7-00030233,IA,2015,27.571727645,95.892029036,20,-1.56749024190552,20,3.0,30233,3,R,dhs_train/IA-2015-7-00030233.npz
